Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cabo Verde,CV,CPV,Carbon stocks in forests,Million tonnes,,,,,1.1582,1.2974,1.4366,1.5759,1.7151,1.8543,1.9935,2.1328,2.272,2.2891,2.3063,2.3235,2.3406,2.3578,2.3749,2.3921,2.4093,2.4264,2.4436,2.4607,2.4779,2.4951,2.5122,2.5294,2.5465,2.5637,2.5809,2.598,2.6152
Cabo Verde,CV,CPV,Forest area,1000 HA,,,,,20.248,22.682,25.116,27.55,29.984,32.418,34.852,37.286,39.72,40.02,40.32,40.62,40.92,41.22,41.52,41.82,42.12,42.42,42.72,43.02,43.32,43.62,43.92,44.22,44.52,44.82,45.12,45.42,45.72
Cabo Verde,CV,CPV,Index of carbon stocks in forests,Index,,,,,100.0,112.018649628734,124.037299257469,136.06458297358,148.083232602314,160.101882231048,172.120531859782,184.147815575894,196.166465204628,197.642894146089,199.127957174927,200.613020203765,202.089449145225,203.574512174063,205.050941115524,206.536004144362,208.0210671732,209.497496114661,210.982559143499,212.458988084959,213.944051113797,215.429114142635,216.905543084096,218.390606112934,219.867035054395,221.352098083233,222.83716111207,224.313590053531,225.798653082369
Cabo Verde,CV,CPV,Index of forest extent,Index,,,,,100.0,112.020940339787,124.041880679573,136.06282101936,148.083761359147,160.104701698933,172.12564203872,184.146582378507,196.167522718293,197.649150533386,199.130778348479,200.612406163572,202.094033978665,203.575661793757,205.05728960885,206.538917423943,208.020545239036,209.502173054129,210.983800869222,212.465428684314,213.947056499407,215.4286843145,216.910312129593,218.391939944686,219.873567759779,221.355195574872,222.836823389964,224.318451205057,225.80007902015
Cabo Verde,CV,CPV,Land area,1000 HA,,,,,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0
Cabo Verde,CV,CPV,Share of forest area,Percent,,,,,5.02431761786601,5.62828784119107,6.23225806451613,6.83622828784119,7.44019851116625,8.04416873449131,8.64813895781638,9.25210918114144,9.8560794044665,9.93052109181141,10.0049627791563,10.0794044665012,10.1538461538462,10.2282878411911,10.302729528536,10.3771712158809,10.4516129032258,10.5260545905707,10.6004962779156,10.6749379652605,10.7493796526055,10.8238213399504,10.8982630272953,10.9727047146402,11.0471464019851,11.12158808933,11.1960297766749,11.2704714640199,11.3449131513648
